ahl,atc,mean,cv,variant,strain,date,file
0.000289832,0,61.07833845,1.252684785,347f,mg1655,171012,34
0.000371241,0,72.16926024,1.192345664,347f,mg1655,171012,35
0.000475518,0,87.13909388,1.1714271,347f,mg1655,171012,36
0.000609085,0,233.8929457,1.169229635,347f,mg1655,171012,37
0.000780169,0,655.4370217,0.939844336,347f,mg1655,171012,38
0.000999308,0,3703.187572,0.475468464,347f,mg1655,171012,39
0.00128,0,6378.816461,0.397806622,347f,mg1655,171012,40
0.001639535,0,9501.216449,0.372533071,347f,mg1655,171012,41
0.002100059,0,12496.47314,0.375061878,347f,mg1655,171012,42
0.002689937,0,15497.72422,0.397888245,347f,mg1655,171012,43
0.003445504,0,17824.69158,0.419068241,347f,mg1655,171012,44
0.004413301,0,19818.67884,0.400300111,347f,mg1655,171012,45
0.005652938,0,21251.05614,0.416507156,347f,mg1655,171012,46
0.007240773,0,22156.39799,0.418897414,347f,mg1655,171012,47
0.00927461,0,21792.24559,0.412052107,347f,mg1655,171012,48
0.011879725,0,22458.37321,0.419855287,347f,mg1655,171012,49
0.05,0,20313.76674,0.440795059,347f,mg1655,171012,50
