ahl,atc,mean,median,cv,variant,strain,date,file,note
0.001791121,0.089089872,168.1560366,251.1100112,1.75088879,331/347d,mg1655,170727,11,
0.00194146,0.089089872,245.5346134,265.7850734,2.137048765,331/347d,mg1655,170727,12,
0.002104417,0.089089872,371.647655,281.3177576,2.534580038,331/347d,mg1655,170727,13,
0.002281053,0.089089872,1495.853096,535.490155,1.787434068,331/347d,mg1655,170727,14,
0.002472514,0.089089872,2296.067689,1068.713514,1.491930841,331/347d,mg1655,170727,15,
0.002680046,0.089089872,4046.835579,2970.703969,1.091545716,331/347d,mg1655,170727,16,
0.002904998,0.089089872,6120.75829,5292.197792,0.845530504,331/347d,mg1655,170727,17,
0.00314883,0.089089872,7881.283313,6898.373098,0.716365759,331/347d,mg1655,170727,18,
0.00341313,0.089089872,9294.944285,8179.869191,0.633338282,331/347d,mg1655,170727,19,
0.003699613,0.089089872,11333.64415,9884.80769,0.556757422,331/347d,mg1655,170727,20,
0.004010142,0.089089872,12778.00551,11073.91904,0.570609009,331/347d,mg1655,170727,21,
0.004346736,0.089089872,13318.9633,11610.6574,0.530089397,331/347d,mg1655,170727,22,
0.004711582,0.089089872,13819.33118,11945.10826,0.530044195,331/347d,mg1655,170727,23,
0.005107051,0.089089872,14188.04262,12524.07203,0.513153183,331/347d,mg1655,170727,24,
0.005535715,0.089089872,15171.4224,13255.98844,0.535330277,331/347d,mg1655,170727,25,
0,0.211892619,64.15267636,194.4753262,1.208825415,331/347d,mg1655,170727,26,
8.67E-04,0.211892619,74.25788724,201.980239,1.211680616,331/347d,mg1655,170727,27,
9.40E-04,0.211892619,72.54049356,201.980239,1.173105213,331/347d,mg1655,170727,28,
1.02E-03,0.211892619,73.34797532,205.8406138,1.147169165,331/347d,mg1655,170727,29,
1.10E-03,0.211892619,74.61838761,202.8564604,1.21871288,331/347d,mg1655,170727,30,Values from data.226 on 170529. Data.30 cells on 170527 inexplicably did not grow.
0.001197037,0.211892619,78.14232044,205.8406138,1.217352248,331/347d,mg1655,170727,31,
0.001297511,0.211892619,80.49777041,207.798382,1.208387166,331/347d,mg1655,170727,32,
0.001406418,0.211892619,88.74398227,213.7841195,1.158247021,331/347d,mg1655,170727,33,
0.001524467,0.211892619,97.6551648,217.8700977,1.282656793,331/347d,mg1655,170727,34,
0.001652424,0.211892619,116.4391137,228.4299762,1.27658061,331/347d,mg1655,170727,35,
0.001791121,0.211892619,143.7032053,239.5016783,1.553576932,331/347d,mg1655,170727,36,
0.00194146,0.211892619,217.6867408,263.2809849,2.067249575,331/347d,mg1655,170727,37,
